Company Name,Name,Role,Links
AMERICAN HEALTH CARE SOFTWARE ENTERPRISES INC,Marcia Derosia , CEO AHC Financial Service - American Health Care ...,https://www.linkedin.com/in/marcia-derosia-6112a06
AUTUMN-HARP INC,Dave Logan , Chairman - Autumn Harp | LinkedIn,https://www.linkedin.com/in/dave-logan-80ba8121
ElectroCell Technologies Inc,Buzz Hoerr ," CEO - ElectroCell Technologies, Inc. | LinkedIn",https://www.linkedin.com/in/buzz-hoerr-89593731
SELDON TECHNOLOGIES INC ,Alex Housley , Founder & CEO - Seldon | LinkedIn,https://uk.linkedin.com/in/alexhousley
Dynapower Corp,Peter Pollak , President - Dynapower Corporation | LinkedIn,https://www.linkedin.com/in/peter-pollak-ba9b72b
CHROMA TECHNOLOGY CORP,Paul Millman , President - Chroma Technology Corp. | LinkedIn,https://www.linkedin.com/in/paul-millman-643a254
EUSTIS CABLE ENTERPRISES LTD,Andrew Bauer , Vice President of Operations - Eustis Cable ... - LinkedIn,https://www.linkedin.com/in/andrew-bauer-7209a15b
Corgibytes LLC,Andrea Goulet ," Co-Founder & CEO - Corgibytes, LLC | LinkedIn",https://www.linkedin.com/in/andreamgoulet
BERTRAM CONSTRUCTION LTD,Jack Bertram , Owner and Managing Director ... - LinkedIn,https://uk.linkedin.com/in/jhbertram
WHITNEY BLAKE COMPANY,Sheldon Scott , President & CEO - Whitney Blake Company | LinkedIn,https://www.linkedin.com/in/sheldon-scott-1844781b
FELLOWS CORPORATION,Matt Fellowes , Founder and Chief Executive Officer ... - LinkedIn,https://www.linkedin.com/in/mattfellowes
